experiment	timestamp	accuracy	status
1	2026-03-21T08:14:31.171Z	20.90	skipped
2	2026-03-21T08:14:31.911Z	20.90	skipped
3	2026-03-21T08:14:32.644Z	20.90	skipped
4	2026-03-21T08:14:33.276Z	20.90	skipped
5	2026-03-21T08:14:34.010Z	20.90	skipped
6	2026-03-21T08:14:34.723Z	20.90	skipped
7	2026-03-21T08:14:35.340Z	20.90	skipped
8	2026-03-21T08:14:36.000Z	20.90	skipped
9	2026-03-21T08:14:36.725Z	20.90	skipped
10	2026-03-21T08:14:37.402Z	20.90	skipped
11	2026-03-21T08:14:38.095Z	20.90	skipped
12	2026-03-21T08:14:38.895Z	20.90	skipped
13	2026-03-21T08:14:39.671Z	20.90	skipped
14	2026-03-21T08:14:40.271Z	20.90	skipped
15	2026-03-21T08:14:40.905Z	20.90	skipped
16	2026-03-21T08:14:41.544Z	20.90	skipped
17	2026-03-21T08:14:42.181Z	20.90	skipped
18	2026-03-21T08:14:42.932Z	20.90	skipped
19	2026-03-21T08:14:43.544Z	20.90	skipped
20	2026-03-21T08:14:44.221Z	20.90	skipped
1	2026-03-21T08:34:53.229Z	99.18	skipped
2	2026-03-21T08:38:26.795Z	98.36	reverted
3	2026-03-21T08:42:21.841Z	90.57	reverted
4	2026-03-21T08:45:54.000Z	96.72	reverted
1	2026-03-21T08:48:58.817Z	97.54	kept
5	2026-03-21T08:49:29.282Z	93.03	reverted
2	2026-03-21T08:52:44.135Z	99.18	kept
6	2026-03-21T08:53:09.744Z	97.95	reverted
3	2026-03-21T08:56:25.959Z	98.77	reverted
7	2026-03-21T08:57:22.130Z	97.54	reverted
4	2026-03-21T09:00:15.040Z	97.54	reverted
8	2026-03-21T09:02:02.774Z	97.13	reverted
5	2026-03-21T09:05:22.639Z	97.54	reverted
9	2026-03-21T09:06:09.043Z	92.21	reverted
6	2026-03-21T09:07:24.272Z	99.18	skipped
7	2026-03-21T09:09:26.091Z	99.18	skipped
10	2026-03-21T09:09:48.094Z	97.54	reverted
8	2026-03-21T09:11:28.097Z	99.18	skipped
9	2026-03-21T09:13:29.851Z	99.18	skipped
11	2026-03-21T09:14:13.041Z	98.36	reverted
10	2026-03-21T09:15:31.843Z	99.18	skipped
12	2026-03-21T09:18:14.600Z	98.77	reverted
11	2026-03-21T09:19:25.931Z	98.36	reverted
13	2026-03-21T09:22:44.009Z	93.85	reverted
12	2026-03-21T09:23:05.390Z	98.36	reverted
13	2026-03-21T09:26:39.639Z	98.77	reverted
14	2026-03-21T09:27:34.956Z	98.77	reverted
15	2026-03-21T09:31:23.996Z	98.36	reverted
14	2026-03-21T09:32:06.682Z	99.18	reverted
16	2026-03-21T09:35:11.790Z	99.18	reverted
17	2026-03-21T09:38:52.369Z	96.72	reverted
18	2026-03-21T09:42:43.443Z	92.62	reverted
19	2026-03-21T09:46:51.205Z	93.03	reverted
20	2026-03-21T09:51:06.654Z	98.36	reverted
15	2026-03-21T09:54:38.348Z	61.89	reverted
16	2026-03-21T09:56:39.740Z	99.18	skipped
17	2026-03-21T10:00:12.014Z	99.18	reverted
18	2026-03-21T10:04:53.397Z	97.95	reverted
19	2026-03-21T10:09:41.208Z	98.36	reverted
20	2026-03-21T10:14:23.139Z	100.00	kept
